comparison.primary;comparison.secondary
единый;5.26315789473684;27.906976744186
крылечко;21.0526315789474;20.9302325581395
молоденька;15.7894736842105;18.9147286821705
обманывать;42.1052631578947;20.1550387596899
поп;7.89473684210526;16.4341085271318
скакать;23.6842105263158;16.5891472868217
встречать;55.2631578947368;19.3798449612403
далече;5.26315789473684;21.3953488372093
дитя;26.3157894736842;15.6589147286822
легкий;23.6842105263158;21.2403100775194
больно;18.4210526315789;27.4418604651163
вить;21.0526315789474;17.984496124031
деверь;0;11.1627906976744
лист;47.3684210526316;21.8604651162791
ноченька;63.1578947368421;21.5503875968992
огород;7.89473684210526;18.4496124031008
приговаривать;21.0526315789474;20.4651162790698
пропадать;55.2631578947368;19.2248062015504
чей;36.8421052631579;14.8837209302326
беленький;0;22.3255813953488
змея;60.5263157894737;11.937984496124
кроватушка;0;22.9457364341085
подносить;10.5263157894737;16.1240310077519
право;15.7894736842105;23.5658914728682
вынимать;26.3157894736842;21.5503875968992
господин;2.63157894736842;22.4806201550388
донской;0;14.1085271317829
продавать;15.7894736842105;14.4186046511628
шить;5.26315789473684;20.9302325581395
пасть;39.4736842105263;22.015503875969
село;44.7368421052632;19.8449612403101
государыня;0;20.3100775193798
кормить;15.7894736842105;19.5348837209302
лазоревый;23.6842105263158;22.4806201550388
напоить;31.5789473684211;18.1395348837209
неделя;10.5263157894737;14.7286821705426
свекровь;21.0526315789474;10.077519379845
дунюшка;0;16.2790697674419
лодочка;0;15.5038759689922
денежки;0;18.4496124031008
дурак;0;17.984496124031
крыло;60.5263157894737;16.2790697674419
низко;10.5263157894737;18.7596899224806
орел;34.2105263157895;13.1782945736434
отворять;23.6842105263158;17.8294573643411
поход;18.4210526315789;15.968992248062
ряд;5.26315789473684;15.1937984496124
свеча;23.6842105263158;17.3643410852713
варить;0;19.5348837209302
дождь;21.0526315789474;18.7596899224806
оставлять;65.7894736842105;18.6046511627907
любимый;26.3157894736842;21.5503875968992
начинать;26.3157894736842;24.6511627906977
башмачок;0;18.2945736434109
беседушка;18.4210526315789;17.8294573643411
голубой;31.5789473684211;19.8449612403101
ключник;0;5.58139534883721
эдак;0;3.56589147286822
молодка;13.1578947368421;14.5736434108527
прощай;5.26315789473684;16.7441860465116
торг;0;15.3488372093023
ведать;50;17.984496124031
виноград;0;19.2248062015504
дверь;36.8421052631579;16.7441860465116
народ;23.6842105263158;17.3643410852713
перина;0;21.8604651162791
разлука;63.1578947368421;15.0387596899225
вострый;7.89473684210526;17.8294573643411
долой;21.0526315789474;17.5193798449612
дружочек;65.7894736842105;21.2403100775194
какой;26.3157894736842;23.2558139534884
написать;26.3157894736842;20.6201550387597
отчего;39.4736842105263;17.984496124031
питер;0;20.7751937984496
чуж;0;17.0542635658915
казань;0;12.8682170542636
позабывать;52.6315789473684;18.2945736434109
поклон;26.3157894736842;20.9302325581395
тошно;42.1052631578947;19.2248062015504
туча;92.1052631578947;12.5581395348837
эх;31.5789473684211;11.1627906976744
глупый;13.1578947368421;21.2403100775194
государь;5.26315789473684;19.6899224806202
жаловать;15.7894736842105;14.5736434108527
кликать;7.89473684210526;11.4728682170543
круг;18.4210526315789;15.5038759689922
палата;2.63157894736842;13.1782945736434
кручинушка;60.5263157894737;17.984496124031
сабля;10.5263157894737;17.984496124031
сирота;28.9473684210526;18.1395348837209
